No,VMI,VME,SSA
908,0.328,0.157,801
909,0.328,0.157,801
910,0.328,0.157,801
911,0.328,0.157,801
912,0.328,0.157,801
913,0.328,0.157,801
914,0.328,0.157,801
915,0.328,0.157,801
916,0.328,0.157,801
917,0.328,0.157,801
918,0.328,0.157,801
919,0.328,0.157,801
920,0.328,0.157,801
921,0.328,0.157,801
922,0.328,0.157,801
923,0.328,0.157,801
924,0.328,0.157,801
925,0.328,0.157,801
926,0.328,0.157,801
927,0.328,0.157,801
928,0.328,0.157,801
929,0.328,0.157,801
930,0.328,0.157,801
931,0.328,0.157,801
932,0.328,0.157,801
933,0.328,0.157,801
934,0.328,0.157,801
935,0.328,0.157,801
936,0.328,0.157,801
937,0.328,0.157,801
938,0.328,0.157,801
939,0.328,0.157,801
940,0.328,0.157,801
941,0.328,0.157,801
942,0.328,0.157,801
943,0.328,0.157,801
944,0.328,0.157,801
945,0.328,0.157,801
946,0.328,0.157,801
947,0.328,0.157,801
948,0.328,0.157,801
949,0.328,0.157,801
950,0.328,0.157,801
951,0.328,0.157,801
952,0.328,0.157,801
953,0.328,0.157,801
954,0.328,0.157,801
955,0.328,0.157,801
956,0.328,0.157,801
957,0.328,0.157,801
958,0.328,0.157,801
959,0.328,0.157,801
960,0.328,0.157,801
961,0.328,0.157,801
962,0.328,0.157,801
963,0.328,0.157,801
964,0.328,0.157,801
965,0.214,0.073,645
966,0.214,0.073,645
967,0.214,0.073,645
968,0.214,0.073,645
969,0.214,0.073,645
970,0.214,0.073,645
971,0.214,0.073,645
972,0.214,0.073,645
973,0.214,0.073,645
974,0.214,0.073,645
975,0.214,0.073,645
976,0.214,0.073,645
977,0.214,0.073,645
978,0.214,0.073,645
979,0.214,0.073,645
980,0.214,0.073,645
981,0.214,0.073,645
982,0.214,0.073,645
983,0.214,0.073,645
984,0.214,0.073,645
985,0.214,0.073,645
986,0.214,0.073,645
987,0.214,0.073,645
988,0.214,0.073,645
989,0.214,0.073,645
990,0.214,0.073,645
991,0.214,0.073,645
992,0.214,0.073,645
993,0.214,0.073,645
994,0.214,0.073,645
995,0.214,0.073,645
996,0.214,0.073,645
997,0.214,0.073,645
998,0.214,0.073,645
999,0.214,0.073,645
1000,0.214,0.073,645
1001,0.214,0.073,645
1002,0.214,0.073,645
1003,0.214,0.073,645
1004,0.214,0.073,645
1005,0.214,0.073,645
1006,0.214,0.073,645
1007,0.214,0.073,645
1008,0.214,0.073,645
1009,0.214,0.073,645
1010,0.24,0.37,740
1011,0.44,0.45,1260
1012,0.53,0,898
1013,0.53,0,898
1014,0.53,0,898
1015,0.53,0,898
1016,0.53,0,898
1017,0.53,0,898
1018,0.53,0,898
1019,0.53,0,898
1020,0.53,0,898
1021,0.53,0,898
1022,0.53,0,898
1023,0.53,0,898
1024,0.53,0,898
1025,0.53,0,898
1026,0.53,0,898
1027,0.64,0,1123
1028,0.64,0,1123
1029,0.64,0,1123
1030,0.64,0,1123
1031,0.64,0,1123
1032,0.64,0,1123
1033,0.64,0,1123
1034,0.64,0,1123
1035,0.64,0,1123
1036,0.64,0,1123
1037,0.64,0,1123
1038,0.64,0,1123
1039,0.64,0,1123
1040,0.64,0,1123
1041,0.64,0,1123
1042,0.53,0,898
1043,0.53,0,898
1044,0.53,0,898
1045,0.53,0,898
1046,0.53,0,898
1047,0.53,0,898
1048,0.53,0,898
1049,0.53,0,898
1050,0.53,0,898
1051,0.53,0,898
1052,0.53,0,898
1053,0.53,0,898
1054,0.53,0,898
1055,0.53,0,898
1056,0.53,0,898
1057,0.31,0,699
1058,0.31,0,699
1059,0.31,0,699
1060,0.31,0,699
1061,0.31,0,699
1062,0.31,0,699
1063,0.31,0,699
1064,0.31,0,699
1065,0.31,0,699
1066,0.31,0,699
1067,0.31,0,699
1068,0.31,0,699
1069,0.64,0,1123
1070,0.64,0,1123
1071,0.64,0,1123
1072,0.64,0,1123
1073,0.64,0,1123
1074,0.64,0,1123
1075,0.64,0,1123
1076,0.64,0,1123
1077,0.64,0,1123
1078,0.64,0,1123
1079,0.64,0,1123
1080,0.64,0,1123
1081,0.64,0,1123
1082,0.64,0,1123
1083,0.64,0,1123
1084,0.57,0,1006
1085,0.57,0,1006
1086,0.57,0,1006
1087,0.57,0,1006
1088,0.57,0,1006
1089,0.57,0,1006
