No,SSA,VMI,VME,T,P,G
500,1044,0.46,0.04,25,25,4.8
501,1044,0.46,0.04,25,30,4.917
502,1044,0.46,0.04,25,35,4.995
503,1044,0.46,0.04,40,0.285,0.448
504,1044,0.46,0.04,40,0.6,0.793
505,1044,0.46,0.04,40,1,1.134
506,1044,0.46,0.04,40,2,1.723
507,1044,0.46,0.04,40,4,2.448
508,1044,0.46,0.04,40,7,3.091
509,1044,0.46,0.04,40,10,3.501
510,1044,0.46,0.04,40,15,3.937
511,1044,0.46,0.04,40,20,4.213
512,1044,0.46,0.04,40,25,4.401
513,1044,0.46,0.04,40,30,4.537
514,1044,0.46,0.04,40,35,4.631
515,1044,0.46,0.04,50,0.29,0.369
516,1044,0.46,0.04,50,0.61,0.663
517,1044,0.46,0.04,50,1,0.959
518,1044,0.46,0.04,50,2,1.496
519,1044,0.46,0.04,50,4,2.179
520,1044,0.46,0.04,50,7,2.806
521,1044,0.46,0.04,50,10,3.213
522,1044,0.46,0.04,50,15,3.653
523,1044,0.46,0.04,50,20,3.937
524,1044,0.46,0.04,50,25,4.133
525,1044,0.46,0.04,50,30,4.273
526,1044,0.46,0.04,50,35,4.372
527,3101,1.4,0.44,0,1.13,2.76
528,3101,1.4,0.44,0,1,2.55
529,3101,1.4,0.44,0,0.91,2.38
530,3101,1.4,0.44,0,0.8,2.16
531,3101,1.4,0.44,0,0.71,1.97
532,3101,1.4,0.44,0,0.616,1.76
533,3101,1.4,0.44,0,0.5,1.51
534,3101,1.4,0.44,0,0.41,1.28
535,3101,1.4,0.44,0,0.3,0.98
536,3101,1.4,0.44,0,0.21,0.72
537,2739,1.2,0.64,0,1.13,2.38
538,2739,1.2,0.64,0,1,2.19
539,2739,1.2,0.64,0,0.91,2.04
540,2739,1.2,0.64,0,0.8,1.84
541,2739,1.2,0.64,0,0.707,1.69
542,2739,1.2,0.64,0,0.595,1.46
543,2739,1.2,0.64,0,0.5,1.28
544,2739,1.2,0.64,0,0.41,1.08
545,2739,1.2,0.64,0,0.3,0.82
546,2772,1.24,0.41,0,1.13,2.2
547,2772,1.24,0.41,0,1,2.03
548,2772,1.24,0.41,0,0.91,1.88
549,2772,1.24,0.41,0,0.8,1.71
550,2772,1.24,0.41,0,0.71,1.56
551,2772,1.24,0.41,0,0.594,1.35
552,2772,1.24,0.41,0,0.5,1.19
553,2772,1.24,0.41,0,0.41,1.01
554,2772,1.24,0.41,0,0.3,0.769
555,2772,1.24,0.41,0,0.2,0.56
556,776,0.1894,0.3765,25,1,1.12
557,776,0.1894,0.3765,25,0.945,1.09
558,776,0.1894,0.3765,25,0.88,1.04
559,776,0.1894,0.3765,25,0.81,0.99
560,776,0.1894,0.3765,25,0.7,0.915
561,776,0.1894,0.3765,25,0.63,0.86
562,776,0.1894,0.3765,25,0.565,0.8
563,776,0.1894,0.3765,25,0.495,0.74
564,776,0.1894,0.3765,25,0.39,0.63
565,776,0.1894,0.3765,25,0.32,0.555
566,776,0.1894,0.3765,25,0.28,0.51
567,776,0.1894,0.3765,25,0.25,0.46
568,776,0.1894,0.3765,25,0.21,0.41
569,776,0.1894,0.3765,25,0.18,0.36
570,776,0.1894,0.3765,25,0.14,0.3
571,776,0.1894,0.3765,25,0.1,0.23
572,594,0.1498,0.0935,25,0.98,1.08
573,594,0.1498,0.0935,25,0.945,1.06
574,594,0.1498,0.0935,25,0.88,1.01
575,594,0.1498,0.0935,25,0.81,0.96
576,594,0.1498,0.0935,25,0.7,0.88
577,594,0.1498,0.0935,25,0.63,0.826
578,594,0.1498,0.0935,25,0.565,0.77
579,594,0.1498,0.0935,25,0.495,0.706
580,594,0.1498,0.0935,25,0.39,0.6
581,594,0.1498,0.0935,25,0.32,0.525
582,594,0.1498,0.0935,25,0.28,0.48
